Unnamed: 0,date,first_open_x,last_close_x,max_high,min_low,avg_return,volatility_return,volatility_log_return,total_volume,last_momentum_3,avg_true_range,session_return,range,range_ratio,range_ratio_close,up_moves,down_moves,up_move_ratio,avg_body,std_body,max_body,min_body,avg_candle_range,std_close,last_close_y,bullish_count,bearish_count,first_open_y,first_last_change,rsi_14_mean,rsi_14_std,ema_20_mean,macd_mean,macd_signal_mean,macd_diff_mean,macd_diff_std,atr_14_mean,bb_upper_mean,bb_lower_mean,bb_mavg_mean,count_is_doji,count_is_hammer,count_is_inverted_hammer,count_is_bullish_engulfing,count_is_bearish_engulfing,count_is_morning_star,close,session_volume,prev_high,prev_low,prev_close,rolling_high,rolling_low,zone_mid,zone_top,zone_bottom,vol_zone_top,vol_zone_bottom,avg_dist_to_prev_high,min_dist_to_prev_high,avg_dist_to_prev_low,max_dist_to_prev_low,avg_ratio_to_high,avg_ratio_to_low,broke_prev_high,broke_prev_low,breakout_above_magnitude,breakout_below_magnitude,broke_above_prev_high_any,broke_above_prev_high_sum,broke_below_prev_low_any,broke_below_prev_low_sum,broke_above_zone_top_any,broke_above_zone_top_sum,broke_below_zone_bottom_any,broke_below_zone_bottom_sum,broke_above_prev_close_any,broke_above_prev_close_sum,broke_below_prev_close_any,broke_below_prev_close_sum,minutes_to_breakout_above_close,minutes_to_breakout_below_close,cluster,cluster_prob
2,2024-01-10,2026.7,2025.54,2040.37,2023.72,-3.998855130494579e-05,0.0005639854856858,0.0005644597664687,212728,-0.0005871527041095,1.546637168141607,-0.0005723590072531,16.649999999999864,0.008215325405832,0.008220030214165,54,59,0.4778761061946903,0.6260176991150443,0.5874347073490245,3.259999999999991,0.0099999999999909,1.4785840707964737,3.6457285979777807,2025.54,54,59,2026.7,-1.160000000000082,47.19841312153488,12.92585505401551,2032.364015525616,-0.3465124190325229,-0.3088460147161218,-0.037666404316401,0.4495042911194267,1.556108022364462,2036.1006963300388,2028.7152594221736,2032.407977876106,8,6,4,1,7,10,2025.54,212728,2042.09,2031.06,2034.75,2030.46,2018.31,2024.385,2027.4225,2021.3475,2035.112,2030.731,-10.304159292035315,-17.699999999999818,0.7258407079646579,7.870000000000118,-0.9341938674380303,0.0658060419001466,0.0,1.0,0.0,7.339999999999918,False,0,True,49,True,96,False,0,True,39,True,96,140.0,0.0,-1,0.0
3,2024-01-11,2032.94,2029.39,2045.8,2024.76,1.700273603608457e-05,0.0006321999911812,0.0006319370551218,289535,0.0007939717326337,1.8507079646017648,-0.0017462394364811,21.039999999999964,0.0103495430263559,0.0103676474211462,62,50,0.5535714285714286,0.7028318584070682,0.8586580778693496,5.130000000000109,0.0,1.793451327433623,2.1355296605526464,2029.39,62,51,2032.94,-3.5499999999999545,51.30615991148224,8.839759159987384,2032.2070551488348,0.0107696194675522,0.0008261825208455,0.0099434369467066,0.3331047305794946,1.703153024554751,2035.1104043740552,2029.292383236564,2032.2013938053096,13,5,5,1,7,10,2029.39,289535,2040.37,2023.72,2025.54,2042.09,2031.06,2036.575,2039.3325,2033.8175,2032.512,2029.189,-8.097079646017587,-14.5,8.552920353982277,15.1099999999999,-0.4863110606430386,0.5136888792969049,1.0,0.0,5.430000000000064,0.0,True,1,False,0,True,2,True,99,True,113,True,3,0.0,450.0,-1,0.0
5,2024-01-15,2054.97,2050.63,2058.66,2049.15,-3.010679656517149e-05,0.000317677692615,0.0003177294453166,160858,-0.000511775715511,1.140353982300866,-0.0021119529725492,9.509999999999764,0.0046278047854712,0.0046375991768382,52,60,0.4642857142857143,0.4683185840708052,0.3451342975020756,1.5199999999999818,0.0,1.1182300884955565,1.6768981452020095,2050.63,52,61,2054.97,-4.339999999999691,46.66775685779424,7.149459618799165,2054.299110165981,-0.0869724749571878,0.0101107776251901,-0.0970832525823779,0.2428982414581942,1.2974277632144071,2056.379779799732,2052.4843263949583,2054.432053097345,14,6,2,4,5,8,2050.63,160858,2062.33,2034.04,2057.63,2045.8,2024.76,2035.28,2040.54,2030.02,2054.155,2053.154,-8.414424778760997,-12.420000000000073,19.875575221238968,24.26000000000022,-0.297434587533631,0.7025653771181907,0.0,0.0,0.0,0.0,False,0,False,0,True,113,False,0,True,3,True,112,160.0,0.0,-1,0.0
6,2024-01-16,2048.42,2039.38,2050.99,2031.22,-4.847687124901576e-05,0.0006437156425608,0.0006436789807033,255413,3.432533553016093e-05,1.7620353982300776,-0.0044131574579431,19.769999999999754,0.0096513410335769,0.0096941227235727,56,57,0.495575221238938,0.8165486725663956,0.9951182358963172,6.879999999999882,0.0099999999999909,1.7436283185840584,4.702427351171759,2039.38,56,57,2048.42,-9.039999999999964,41.280041338174826,8.728837119120412,2043.1978981706743,-0.8592287348998248,-0.8787031025473968,0.019474367647572,0.2991733806399816,1.6547750482697832,2046.4549542009968,2039.8712227901533,2043.1630884955755,11,5,2,5,7,10,2039.38,255413,2058.66,2049.15,2050.63,2062.33,2034.04,2048.185,2055.2575,2041.1125,2039.544,2037.463,-16.554336283185688,-26.84999999999991,-7.044336283185923,1.6900000000000546,-1.740729184275175,-0.740729289427635,0.0,1.0,0.0,17.930000000000064,False,0,True,108,False,0,True,76,True,2,True,113,60.0,0.0,-1,0.0
8,2024-01-18,2009.08,2013.17,2017.34,2007.29,1.0935602805458467e-05,0.0003789511355214,0.0003789718743004,250862,0.0003875988252775,1.4785840707964597,0.0020357576602225,10.049999999999956,0.0050022896051924,0.0049921268447274,62,51,0.5486725663716814,0.5988495575221164,0.4788989458949168,2.470000000000028,0.0099999999999909,1.4730088495575204,1.6221264732428156,2013.17,62,51,2009.08,4.0900000000001455,46.89692633751258,10.274715686275496,2012.3617607289032,-0.5464740778124986,-0.6349174974753926,0.0884434196628939,0.3022895281535138,1.561046307798,2015.1475169098003,2009.3405892848896,2012.2440530973447,16,6,6,5,6,6,2013.17,250862,2029.08,2009.52,2010.7,2050.99,2031.22,2041.105,2046.0475,2036.1625,2012.579,2011.522,-17.12575221238931,-20.15999999999985,2.434247787610637,7.069999999999936,-0.8755496593476326,0.1244502895276254,0.0,1.0,0.0,2.230000000000018,False,0,True,17,False,0,True,113,True,101,True,39,5.0,0.0,-1,0.0
10,2024-01-22,2023.23,2025.44,2030.27,2016.42,6.509527932646144e-06,0.0005085414079263,0.0005085669282406,263158,0.00100325687824,1.6577876106194764,0.0010923127869792,13.849999999999907,0.0068454896378562,0.0068380203807567,59,53,0.5267857142857143,0.7830088495575163,0.6672556869047345,3.6700000000000728,0.0,1.657522123893813,2.113734483593018,2025.44,59,54,2023.23,2.2100000000000364,47.74762823150376,11.91708454982934,2024.0048044178727,-0.509830578789733,-0.5432844913307436,0.0334539125410106,0.3409874041997102,1.6636968645070682,2027.06080574391,2020.8502916012224,2023.9555486725665,13,1,0,5,1,7,2025.44,263158,2039.5,2020.73,2023.98,2017.34,2007.29,2012.315,2014.8275,2009.8025,2023.709,2022.252,-15.989203539823023,-21.19000000000005,2.780796460176957,9.190000000000056,-0.8518488379314971,0.1481511087920005,0.0,1.0,0.0,4.309999999999945,False,0,True,15,True,113,False,0,True,50,True,88,25.0,0.0,-1,0.0
11,2024-01-23,2030.73,2024.0,2037.98,2021.31,-6.182256305115386e-06,0.0004746766969595,0.0004745215956181,268673,-0.0007553578569559,1.6567256637168124,-0.0033140791734992,16.670000000000073,0.0082088707016688,0.0082361660079051,48,64,0.4285714285714285,0.6368141592920257,0.5234607801632791,2.930000000000064,0.0,1.6176991150442477,3.0188475035488884,2024.0,48,65,2030.73,-6.730000000000018,48.20725698004669,10.7446208055795,2027.243678704437,0.0703324012257422,0.0637595929744113,0.0065728082513309,0.3737331059648421,1.6886064762787047,2030.334654752664,2024.1343275482216,2027.2344911504424,9,12,6,3,6,7,2024.0,268673,2030.27,2016.42,2025.44,2039.5,2020.73,2030.115,2034.8075,2025.4225,2024.819,2023.065,-2.946017699115041,-7.579999999999927,10.903982300884868,19.09999999999991,-0.2127088437838423,0.7872910840139968,1.0,0.0,7.710000000000036,0.0,True,31,False,0,True,4,True,48,True,83,True,48,0.0,285.0,-1,0.0
12,2024-01-24,2024.53,2020.9,2036.78,2019.15,-1.3414425783720168e-05,0.0005501539912772,0.0005502700198154,327774,-0.0014082767140209,1.690442477876106,-0.0017930087477092,17.62999999999988,0.0087081940005827,0.0087238359146914,57,56,0.504424778761062,0.7673451327433531,0.8108725654009055,4.660000000000082,0.0099999999999909,1.6897345132743369,3.1875040393123872,2020.9,57,56,2024.53,-3.6299999999998818,54.38756686834616,9.29655156410389,2030.1677728037023,0.3611395192991692,0.4190969041579845,-0.0579573848588153,0.3085066169503879,1.5982684439018444,2032.7332418420287,2027.735120989829,2030.2341814159288,18,2,7,4,4,8,2020.9,327774,2037.98,2021.31,2024.0,2030.27,2016.42,2023.345,2026.8075,2019.8825,2033.068,2031.213,-7.563539823008866,-17.079999999999927,9.106460176991206,14.480000000000018,-0.4537216178336662,0.546278322178335,0.0,1.0,0.0,2.1599999999998545,False,0,True,2,True,99,True,1,True,112,True,10,0.0,0.0,-1,0.0
13,2024-01-25,2015.56,2021.27,2025.44,2009.47,1.7407299450246076e-06,0.000493298041637,0.0004934375909813,296178,-0.0014869484458671,1.663716814159294,0.0028329595745102,15.970000000000027,0.0079233562880787,0.0079009731505439,58,55,0.5132743362831859,0.6343362831858493,0.5582272260503938,2.910000000000082,0.0099999999999909,1.6195575221238938,2.810856166612034,2021.27,58,55,2015.56,5.710000000000036,46.92273822441184,13.850144222548147,2017.598415427521,-0.6418925491469243,-0.767050944958905,0.1251583958119807,0.4334002108718673,1.6928482108075085,2021.31465697392,2013.52441382254,2017.4195353982304,18,4,6,2,4,5,2021.27,296178,2036.78,2019.15,2020.9,2037.98,2021.31,2029.645,2033.8125,2025.4775,2022.918,2016.194,-19.65557522123891,-23.700000000000045,-2.0255752212390274,5.129999999999882,-1.1148935965028612,-0.1148936532243555,0.0,1.0,0.0,9.680000000000064,False,0,True,97,False,0,True,113,True,18,True,102,455.0,0.0,-1,0.0
14,2024-01-26,2022.91,2017.74,2026.75,2016.0,-1.5404423268274495e-05,0.0003595663174669,0.0003595699395353,227852,0.0001437458177402,1.359115044247793,-0.0025557241795235,10.75,0.0053141266788932,0.0053277429202969,61,52,0.5398230088495575,0.5710619469026607,0.4071138898915208,2.089999999999918,0.0099999999999909,1.345840707964607,1.5424761214796094,2017.74,61,52,2022.91,-5.170000000000073,50.281779959067066,8.091383993996876,2021.8212130082663,0.0910336966390642,0.1732234072343037,-0.0821897105952394,0.2120932856679322,1.417041879382796,2023.9012151440872,2019.983430873612,2021.9423230088496,9,1,8,4,3,4,2017.74,227852,2025.44,2009.47,2021.27,2036.78,2019.15,2027.965,2032.3725,2023.5575,2022.224,2020.526,-3.737256637168196,-7.990000000000009,12.232743362831831,15.549999999999956,-0.2340173076487715,0.7659826297338248,1.0,0.0,1.3099999999999454,0.0,True,4,False,0,False,0,True,110,True,89,True,56,0.0,60.0,-1,0.0
