date,close,session_volume,prev_high,prev_low,prev_close,rolling_high,rolling_low,zone_mid,zone_top,zone_bottom,vol_zone_top,vol_zone_bottom,avg_dist_to_prev_high,min_dist_to_prev_high,avg_dist_to_prev_low,max_dist_to_prev_low,avg_ratio_to_high,avg_ratio_to_low,broke_prev_high,broke_prev_low,breakout_above_magnitude,breakout_below_magnitude,broke_above_prev_high_any,broke_above_prev_high_sum,broke_below_prev_low_any,broke_below_prev_low_sum,broke_above_zone_top_any,broke_above_zone_top_sum,broke_below_zone_bottom_any,broke_below_zone_bottom_sum,broke_above_prev_close_any,broke_above_prev_close_sum,broke_below_prev_close_any,broke_below_prev_close_sum,minutes_to_breakout_above_close,minutes_to_breakout_below_close
2024-01-10,2026.15,216736,2042.09,2031.06,2034.31,2030.65,2018.31,2024.48,2027.565,2021.395,2035.112,2030.731,-10.353596491227986,-17.699999999999818,0.6764035087719867,7.870000000000118,-0.9386759340482392,0.061323975289937736,0.0,1.0,0.0,7.339999999999918,False,0,True,50,True,96,False,0,True,48,True,84,125.0,0.0
2024-01-11,2030.77,294884,2040.37,2023.72,2026.15,2042.09,2031.06,2036.5749999999998,2039.3324999999998,2033.8174999999999,2032.512,2030.297,-8.110263157894625,-14.5,8.539736842105238,15.1099999999999,-0.4871028631106203,0.5128970768293233,1.0,0.0,5.430000000000064,0.0,True,1,False,0,True,2,True,100,True,114,True,4,0.0,450.0
2024-01-15,2051.82,162827,2062.33,2034.04,2057.99,2045.8,2024.76,2035.28,2040.54,2030.02,2054.155,2053.154,-8.432807017543793,-12.420000000000073,19.85719298245617,24.26000000000022,-0.29808436618803247,0.7019155984637891,0.0,0.0,0.0,0.0,False,0,False,0,True,114,False,0,True,3,True,114,160.0,0.0
2024-01-18,2013.86,254387,2029.08,2008.37,2008.93,2050.99,2031.22,2041.105,2046.0475,2036.1625000000001,2012.579,2011.522,-17.109035087719228,-20.159999999999854,3.6009649122808094,8.220000000000027,-0.826124300415012,0.17387565129913818,0.0,1.0,0.0,1.0799999999999272,False,0,True,4,False,0,True,114,True,114,True,8,0.0,0.0
2024-01-22,2026.34,266587,2039.5,2020.73,2026.09,2017.34,2007.29,2012.315,2014.8275,2009.8025,2023.709,2022.252,-15.964385964912298,-21.190000000000055,2.8056140350876846,9.190000000000055,-0.8505266443465992,0.14947330237689851,0.0,1.0,0.0,4.309999999999945,False,0,True,15,True,114,False,0,True,22,True,103,145.0,0.0
2024-01-23,2024.66,271944,2030.27,2016.42,2026.34,2039.5,2020.73,2030.115,2034.8075,2025.4225000000001,2024.819,2023.065,-2.9693859649122767,-7.579999999999927,10.880614035087632,19.09999999999991,-0.2143960830697627,0.7856038447280765,1.0,0.0,7.710000000000036,0.0,True,31,False,0,True,4,True,49,True,69,True,60,0.0,245.0
2024-01-24,2020.18,333021,2037.98,2021.31,2024.66,2030.27,2016.42,2023.345,2026.8075,2019.8825000000002,2033.068,2031.213,-7.653333333333349,-17.799999999999955,9.016666666666723,14.480000000000018,-0.4591081508233452,0.5408917891886559,0.0,1.0,0.0,2.1599999999998545,False,0,True,3,True,99,True,2,True,109,True,13,0.0,0.0
2024-01-25,2019.68,300083,2036.78,2019.15,2020.18,2037.98,2021.31,2029.645,2033.8125,2025.4775,2022.918,2016.194,-19.63315789473681,-23.700000000000045,-2.003157894736931,5.129999999999882,-1.113622052247016,-0.11362210896851023,0.0,1.0,0.0,9.680000000000064,False,0,True,97,False,0,True,114,True,23,True,100,450.0,0.0
2024-01-26,2017.93,230886,2025.44,2009.47,2019.68,2036.78,2019.15,2027.9650000000001,2032.3725000000002,2023.5575000000001,2022.224,2020.526,-3.7703508771930356,-7.990000000000009,12.199649122806992,15.549999999999955,-0.2360895830371601,0.7639103543454362,1.0,0.0,1.3099999999999454,0.0,True,4,False,0,False,0,True,111,True,106,True,18,0.0,180.0
2024-02-02,2030.83,241655,2050.89,2029.93,2048.91,2056.07,2033.54,2044.805,2050.4375,2039.1725000000001,2056.151,2030.888,-0.5565789473683078,-22.47999999999979,20.4034210526315,26.769999999999754,-0.026554337825094223,0.9734456144649843,1.0,1.0,6.8400000000001455,2.2000000000000455,True,91,True,11,True,91,True,23,True,91,True,24,0.0,450.0
2024-02-05,2019.22,233510,2057.73,2027.73,2030.83,2050.89,2029.93,2040.4099999999999,2045.6499999999999,2035.1699999999998,2023.597,2018.295,-33.87666666666667,-42.49000000000001,-3.876666666666675,3.2200000000000273,-1.129222184581483,-0.12922221791481525,0.0,1.0,0.0,12.970000000000027,False,0,True,97,False,0,True,114,True,3,True,114,50.0,0.0
